,a,b
afrimgsm_eng_37,0.72505677,0.21326363
afrimgsm_eng_38,0.59232324,-0.3066153
afrimgsm_eng_39,0.69851464,0.20161274
afrimgsm_eng_4,0.7054685,-0.8489991
afrimgsm_eng_40,0.7054685,-0.8489991
afrimgsm_eng_41,0.79315966,-0.3160993
afrimgsm_eng_42,0.7054685,-0.8489991
afrimgsm_eng_43,0.7054685,-0.8489991
afrimgsm_eng_44,0.681165,1.1876816
afrimgsm_eng_45,0.79315966,-0.3160993
afrimgsm_eng_46,0.7054685,-0.8489991
afrimgsm_eng_47,0.79315966,-0.3160993
afrimgsm_eng_48,0.7054685,-0.8489991
afrimgsm_eng_49,0.79315966,-0.3160993
afrimgsm_eng_5,0.7054685,-0.8489991
afrimgsm_eng_50,0.7054685,-0.8489991
afrimgsm_eng_51,0.7054685,-0.8489991
afrimgsm_eng_52,0.79315966,-0.3160993
afrimgsm_eng_53,0.79315966,-0.3160993
afrimgsm_eng_54,0.79315966,-0.3160993
afrimgsm_eng_55,0.79315966,-0.3160993
afrimgsm_eng_56,0.7054685,-0.8489991
afrimgsm_eng_57,0.79315966,-0.3160993
afrimgsm_eng_58,0.6794138,0.69208974
afrimgsm_eng_59,0.79315966,-0.3160993
afrimgsm_eng_6,0.7054685,-0.8489991
afrimgsm_eng_60,0.79315966,-0.3160993
afrimgsm_eng_61,0.7054685,-0.8489991
afrimgsm_eng_62,0.79315966,-0.3160993
afrimgsm_eng_63,0.79315966,-0.3160993
afrimgsm_eng_64,0.7054685,-0.8489991
afrimgsm_eng_65,0.5489363,0.14049777
afrimgsm_eng_66,0.79315966,-0.3160993
afrimgsm_eng_67,0.69851464,0.20161274
afrimgsm_eng_68,0.69851464,0.20161274
afrimgsm_eng_69,0.79315966,-0.3160993
afrimgsm_eng_7,0.5902392,-0.30633837
afrimgsm_eng_70,0.69548357,0.2002947
afrimgsm_eng_71,0.7054685,-0.8489991
afrimgsm_eng_72,0.7054685,-0.8489991
afrimgsm_eng_73,0.72505677,0.21326363
afrimgsm_eng_74,0.79315966,-0.3160993
afrimgsm_eng_75,0.79315966,-0.3160993
afrimgsm_eng_76,0.7054685,-0.8489991
afrimgsm_eng_77,0.79315966,-0.3160993
afrimgsm_eng_78,0.72505677,0.21326363
afrimgsm_eng_79,0.7054685,-0.8489991
afrimgsm_eng_8,0.69851464,0.20161274
afrimgsm_eng_80,0.79315966,-0.3160993
afrimgsm_eng_81,0.79315966,-0.3160993
afrimgsm_eng_82,0.79315966,-0.3160993
afrimgsm_eng_83,0.7054685,-0.8489991
afrimgsm_eng_84,0.7054685,-0.8489991
afrimgsm_eng_85,0.69851464,0.20161274
afrimgsm_eng_86,0.79315966,-0.3160993
afrimgsm_eng_87,0.72505677,0.21326363
afrimgsm_eng_88,0.79315966,-0.3160993
afrimgsm_eng_89,0.72505677,0.21326363
afrimgsm_eng_9,0.79315966,-0.3160993
afrimgsm_eng_90,0.7054685,-0.8489991
afrimgsm_eng_91,0.59232324,-0.3066153
afrimgsm_eng_92,0.79315966,-0.3160993
afrimgsm_eng_93,0.69548357,0.2002947
afrimgsm_eng_94,0.79315966,-0.3160993
afrimgsm_eng_95,0.79315966,-0.3160993
afrimgsm_eng_96,0.79315966,-0.3160993
afrimgsm_eng_97,0.7054685,-0.8489991
afrimgsm_eng_98,0.72505677,0.21326363
afrimgsm_eng_99,0.79315966,-0.3160993
afrimgsm_hau_0,0.79315966,-0.3160993
afrimgsm_hau_1,0.7054685,-0.8489991
afrimgsm_hau_10,0.69851464,0.20161274
afrimgsm_hau_100,0.79315966,-0.3160993
afrimgsm_hau_101,0.72505677,0.21326363
afrimgsm_hau_102,0.69851464,0.20161274
afrimgsm_hau_103,0.7054685,-0.8489991
afrimgsm_hau_104,0.79315966,-0.3160993
afrimgsm_hau_105,0.7054685,-0.8489991
afrimgsm_hau_106,0.72505677,0.21326363
afrimgsm_hau_107,0.681165,1.1876816
afrimgsm_hau_108,0.69851464,0.20161274
afrimgsm_hau_109,0.681165,1.1876816
afrimgsm_hau_11,0.7054685,-0.8489991
afrimgsm_hau_110,0.79315966,-0.3160993
afrimgsm_hau_111,0.79315966,-0.3160993
afrimgsm_hau_112,0.7054685,-0.8489991
afrimgsm_hau_113,0.79315966,-0.3160993
afrimgsm_hau_114,0.79315966,-0.3160993
afrimgsm_hau_115,0.79315966,-0.3160993
afrimgsm_hau_116,0.79315966,-0.3160993
afrimgsm_hau_117,0.53234434,0.13433552
afrimgsm_hau_118,0.79315966,-0.3160993
afrimgsm_hau_119,0.681165,1.1876816
afrimgsm_hau_12,0.681165,1.1876816
afrimgsm_hau_120,0.7054685,-0.8489991
afrimgsm_hau_121,0.7054685,-0.8489991
afrimgsm_hau_122,0.79315966,-0.3160993
afrimgsm_hau_123,0.5489363,0.14049777
afrimgsm_hau_124,0.72505677,0.21326363
afrimgsm_hau_125,0.7054685,-0.8489991
afrimgsm_hau_126,0.79315966,-0.3160993
afrimgsm_hau_127,0.7054685,-0.8489991
afrimgsm_hau_128,0.6794138,0.69208974
afrimgsm_hau_129,0.79315966,-0.3160993
afrimgsm_hau_13,0.72505677,0.21326363
afrimgsm_hau_130,0.79315966,-0.3160993
afrimgsm_hau_131,0.681165,1.1876816
afrimgsm_hau_132,0.7054685,-0.8489991
afrimgsm_hau_133,0.7054685,-0.8489991
afrimgsm_hau_134,0.7054685,-0.8489991
afrimgsm_hau_135,0.69548357,0.2002947
afrimgsm_hau_136,0.7054685,-0.8489991
afrimgsm_hau_137,0.681165,1.1876816
afrimgsm_hau_138,0.79315966,-0.3160993
afrimgsm_hau_139,0.681165,1.1876816
afrimgsm_hau_14,0.68251354,0.694715
afrimgsm_hau_140,0.681165,1.1876816
afrimgsm_hau_141,0.79315966,-0.3160993
afrimgsm_hau_142,0.7054685,-0.8489991
afrimgsm_hau_143,0.79315966,-0.3160993
afrimgsm_hau_144,0.79315966,-0.3160993
afrimgsm_hau_145,0.79315966,-0.3160993
afrimgsm_hau_146,0.681165,1.1876816
afrimgsm_hau_147,0.68251354,0.694715
afrimgsm_hau_148,0.79315966,-0.3160993
afrimgsm_hau_149,0.7054685,-0.8489991
afrimgsm_hau_15,0.79315966,-0.3160993
afrimgsm_hau_150,0.79315966,-0.3160993
afrimgsm_hau_151,0.681165,1.1876816
afrimgsm_hau_152,0.681165,1.1876816
afrimgsm_hau_153,0.681165,1.1876816
afrimgsm_hau_154,0.681165,1.1876816
afrimgsm_hau_155,0.79315966,-0.3160993
afrimgsm_hau_156,0.6104306,-0.30883098
afrimgsm_hau_157,0.72505677,0.21326363
afrimgsm_hau_158,0.7054685,-0.8489991
